"Name","Location","Type","Namespace","Source"
"graphicSetFlipVsnc","00643290","Function","Global","User Defined"
"graphicSetForceNoVsync","006433b0","Function","Global","User Defined"
"graphicSetHas2dMap","00643600","Function","Global","User Defined"
"graphicSetHas3dMap","00643620","Function","Global","User Defined"
"graphicSetIsBattleMap","00643640","Function","Global","User Defined"
"graphicSetMagicFileAsyncLoadEnable","00643790","Function","Global","User Defined"
"graphicSetMiniMapType","006438d0","Function","Global","User Defined"
"graphicSetMotionBlurEnable","006438e0","Function","Global","User Defined"
"graphicSetMotionBlurWeight","00643900","Function","Global","User Defined"
"graphicSetNowUIType","00643970","Function","Global","User Defined"
"graphicSetScreenFadeColor","00643ab0","Function","Global","User Defined"
"graphicSetScreenFadeLastReason","00643af0","Function","Global","User Defined"
"graphicSetUiDrawType","00643ca0","Function","Global","User Defined"
"graphicTryAsyncLoadIfAvailable","006444a0","Function","Global","User Defined"
"graphicUiElementRemap","006444d0","Function","Global","User Defined"
"graphicUiRemapX2","00644990","Function","Global","User Defined"
"graphicUiRemapY2","006449d0","Function","Global","User Defined"
"graphicUpdateDistortionVertex","00644af0","Function","Global","User Defined"
"graphicVFX2DSetup","00644d00","Function","Global","User Defined"
"graphicVFX2DUpdate","00644d70","Function","Global","User Defined"
"graphicVFXCreate","00644f90","Function","Global","User Defined"
"graphicVFXCreateDataBuffer","006451f0","Function","Global","User Defined"
"graphicVFXDestroy","00645430","Function","Global","User Defined"
"graphicVFXDestroyAll","006454c0","Function","Global","User Defined"
"graphicVFXDestroyAllExceptFieldAndEternal","006454d0","Function","Global","User Defined"
"graphicVFXGetRenderDataByInstance","00645580","Function","Global","User Defined"
"graphicVFXSetCurrentVFXType","00645820","Function","Global","User Defined"
"graphicVFXSetMeshInstanceName","00645850","Function","Global","User Defined"
"graphicVFXSetVisible","006458c0","Function","Global","User Defined"
"graphicVFXUnloadLevelData","00645a10","Function","Global","User Defined"
"graphicVFXUpdateWithType","00645d50","Function","Global","User Defined"
"graphicVideoUpdate","00645fa0","Function","Global","User Defined"
"SaveDataIsSaveEnabled","00648290","Function","Global","User Defined"
"SaveDataIsScreenClosed","006482b0","Function","Global","User Defined"
"SaveDataSetEventId","006487e0","Function","Global","User Defined"
"SaveDataSetSave","00648860","Function","Global","User Defined"
"SaveDataSetScreenState","00648890","Function","Global","User Defined"
"SaveDataUnlockAchievement","00648a70","Function","Global","User Defined"
"Project3DPointOntoScreen","00652850","Function","PhyreScene","User Defined"
"asyncDoLoadCharacterTask","006579e0","Function","PhyreScene","User Defined"
"change2DSceneNum","00658960","Function","PhyreScene","User Defined"
"clearSpecialMeshInstanceArray","00659150","Function","PhyreScene","User Defined"
"convertMapPath","00659420","Function","PhyreScene","User Defined"
"createMaterial","006598a0","Function","PhyreScene","User Defined"
"deletePMeshInstanceInCluster","0065a650","Function","PhyreScene","User Defined"
"doOnCharacterAllAssetsLoaded","0065a8f0","Function","PhyreScene","User Defined"
"doOnCharacterAssetLoaded","0065afd0","Function","PhyreScene","User Defined"
"fieldMapLoadAsync","0065d010","Function","PhyreScene","User Defined"
"fieldMapShutdown","0065d240","Function","PhyreScene","User Defined"
"getCurrentLevelName","0065dff0","Function","PhyreScene","User Defined"
"getCurrentLevelNameHash","0065e010","Function","PhyreScene","User Defined"
"getLinearSampler","0065e1d0","Function","PhyreScene","User Defined"
"getViewProjectionMatrix","0065e7e0","Function","PhyreScene","User Defined"
"is3DScene","00660350","Function","PhyreScene","User Defined"
"loadCharacter","006640b0","Function","PhyreScene","User Defined"
"loadCharacterAsync","00664480","Function","PhyreScene","User Defined"
"loadMenuTexture","00665360","Function","PhyreScene","User Defined"
"onCharacterAssetLoaded","00666560","Function","PhyreScene","User Defined"
"onMenuTextureLoaded","006668d0","Function","PhyreScene","User Defined"
"removeChrFromPipeline","006687d0","Function","PhyreScene","User Defined"
"removeMeshInstance","00668810","Function","PhyreScene","User Defined"
"setCameraAspectRatio","0066cd70","Function","PhyreScene","User Defined"
"setCameraFOVy","0066cf30","Function","PhyreScene","User Defined"
"setEnableRenderWorldToTexture","0066d190","Function","PhyreScene","User Defined"
"setMeshVisible","0066daa0","Function","PhyreScene","User Defined"
"setMinimapCameraWorldMatrix","0066dad0","Function","PhyreScene","User Defined"
"setToBeDeleteMagicPath","0066e9c0","Function","PhyreScene","User Defined"
"unloadCharacter","00670cc0","Function","PhyreScene","User Defined"
"unloadMapVFXTexture","00671180","Function","PhyreScene","User Defined"
"unloadVFXTexture","006714a0","Function","PhyreScene","User Defined"
"updateViewMatrices","00672260","Function","Phyre::PCamera","User Defined"
"UnloadMagicfilePrx","006796a0","Function","Global","User Defined"
"fiosClearOps","006796b0","Function","Global","User Defined"
"fiosClose","006796c0","Function","Global","User Defined"
"fiosDeleteCompletedOps","00679710","Function","Global","User Defined"
"fiosFileSize","00679720","Function","Global","User Defined"
"fiosIsFileExist","006798a0","Function","Global","User Defined"
"fiosLseek","006798c0","Function","Global","User Defined"
"fiosOpen","006798e0","Function","Global","User Defined"
"fiosRead","006799b0","Function","Global","User Defined"
"fiosUnifyFilename","006799d0","Function","Global","User Defined"
"iMusicClear","0067a1c0","Function","Global","User Defined"
"iMusicClearAll","0067a1e0","Function","Global","User Defined"
"iMusicReplayPointClear","0067a340","Function","Global","User Defined"
"iMusicStop","0067a3c0","Function","Global","User Defined"
"iMusicStopAll","0067a3e0","Function","Global","User Defined"
"iMusicVolumeFadeOut","0067a460","Function","Global","User Defined"
"iSfxPause","0067a530","Function","Global","User Defined"
"iSfxSetPan","0067a570","Function","Global","User Defined"
"iSfxSetVolume","0067a5b0","Function","Global","User Defined"
"iSfxStart","0067a5f0","Function","Global","User Defined"
"iSfxStop","0067a610","Function","Global","User Defined"
"iSfxStopAllNonBlockingSound","0067a630","Function","Global","User Defined"
"iSfxStopNonBlockingSound","0067a650","Function","Global","User Defined"
"iSfxStopNonLoopSound","0067a670","Function","Global","User Defined"
"iSoundSetMute","0067a720","Function","Global","User Defined"
"iVoicePlayStatus","0067a8c0","Function","Global","User Defined"
"getEternalCalmSceneSize","0067ac90","Function","Global","User Defined"
"isEternalCalmScene","0067ad00","Function","Global","User Defined"
