"Name","Location","Type","Namespace","Source"
"MagicFile_Unload","009da940","Function","Global","User Defined"
"onMagicDLLLoaded","009db0f0","Function","Global","User Defined"
"is_ptr32_null","00a446a0","Function","Global","User Defined"
"str_replace","00a44bd0","Function","Global","User Defined"
"eternalCalmId","00c33460","Data Label","Global","User Defined"
"eternalCalmSize","00c3347c","Data Label","Global","User Defined"
"eternalCalmName","00c334b0","Data Label","Global","User Defined"
"ms_sep_str","00c4467c","Data Label","Global","User Defined"
"ms_actor_str","00c44940","Data Label","Global","User Defined"
"sg_user_name","00c494a8","Data Label","Global","User Defined"
"AtelDecodeCommandMainMutex","00c52740","Data Label","Global","User Defined"
"Atelcmdlist","00c54600","Data Label","Global","User Defined"
"font_scale_jimaku","00c5d784","Data Label","Global","User Defined"
"__security_cookie","00c613d8","Data Label","Global","User Defined"
"currentMagicId","00c64ca0","Data Label","Global","User Defined"
"toBeDeleteMagicId","00c64ca4","Data Label","Global","User Defined"
"currentHandle","00c64ca8","Data Label","Global","User Defined"
"toBeDeleteHandle","00c64cac","Data Label","Global","User Defined"
"UnknownMagicList","00c64cb0","Data Label","Global","User Defined"
"gMagicFunctions","00c64ce8","Data Label","Global","User Defined"
"asmreg_0","00c8f508","Data Label","Global","User Defined"
"asmreg_1","00c8f518","Data Label","Global","User Defined"
"asmreg_2","00c8f528","Data Label","Global","User Defined"
"asmreg_3","00c8f538","Data Label","Global","User Defined"
"asmreg_4","00c8f548","Data Label","Global","User Defined"
"asmreg_5","00c8f558","Data Label","Global","User Defined"
"asmreg_6","00c8f568","Data Label","Global","User Defined"
"asmreg_7","00c8f578","Data Label","Global","User Defined"
"asmreg_8","00c8f588","Data Label","Global","User Defined"
"asmreg_vf4","00c8f7d0","Data Label","Global","User Defined"
"asmreg_vf5","00c8f7e0","Data Label","Global","User Defined"
"asmreg_vf6","00c8f7f0","Data Label","Global","User Defined"
"asmreg_vf31","00c8f980","Data Label","Global","User Defined"
"asmreg_vi16","00c8fac4","Data Label","Global","User Defined"
"g_clothMemSpace","00ccb454","Data Label","Global","User Defined"
"g_clothMem","00ccb458","Data Label","Global","User Defined"
"g_graphicInitialize","00ccb45c","Data Label","Global","User Defined"
"menutexturemanager_ptr","00ccc820","Data Label","Global","User Defined"
"localization_manager_ptr","00cded48","Data Label","Global","User Defined"
"kernel_monster1.bin_ptr","0112ca6c","Data Label","Global","User Defined"
"kernel_monster2.bin_ptr","0112ca70","Data Label","Global","User Defined"
"kernel_monster3.bin_ptr","0112ca74","Data Label","Global","User Defined"
"save_ram","0112ca90","Data Label","Global","User Defined"
"g_gilCount","011307d8","Data Label","Global","User Defined"
"ms_camera","01137c2c","Data Label","Global","User Defined"
"ms_camera_cam_flag","01139ec8","Data Label","Global","User Defined"
"ms_battle_chr2_flag","01139ee4","Data Label","Global","User Defined"
"ms_screen_select","01139ef0","Data Label","Global","User Defined"
"ms_debug_chr_select","0113f880","Data Label","Global","User Defined"
"owu_osua_ta","012a4080","Data Label","Global","User Defined"
"g_eventId","012fbbf8","Data Label","Global","User Defined"
"ffx_langmode","013307f0","Data Label","Global","User Defined"
"ffx_debugmode","0133c8d0","Data Label","Global","User Defined"
"EventFontNum","01841d50","Data Label","Global","User Defined"
"x_font_adjust","01871668","Data Label","Global","User Defined"
"y_font_adjust","0187166c","Data Label","Global","User Defined"
"g_pMainWork","0193bf80","Data Label","Global","User Defined"
"g_hideDaigorouFlag","01940ab8","Data Label","Global","User Defined"
"g_magic629_backupMegasMatFlag","01940ac0","Data Label","Global","User Defined"
"fov_backup","022fb600","Data Label","Global","User Defined"
"ms_screen_matrix_backup","022fb620","Data Label","Global","User Defined"
"ms_camera_matrix_backup","022fb660","Data Label","Global","User Defined"
"InitMagicPRX","022fb6a0","Data Label","Global","User Defined"
"GetEffectOverlayTable","022fb6a4","Data Label","Global","User Defined"
"cd_read","02310c40","Data Label","Global","User Defined"
"btl_config_file","02311400","Data Label","Global","User Defined"
"btl_file_name_country","02311420","Data Label","Global","User Defined"
"ms_camera_priority_mask","02311424","Data Label","Global","User Defined"
"ms_camera_matrix","02311440","Data Label","Global","User Defined"
"ms_screen_matrix","02311480","Data Label","Global","User Defined"
"ms_matrix_flag","023114c4","Data Label","Global","User Defined"
"sg_count","023cbbf0","Data Label","Global","User Defined"
"AtelEventName","023cbc60","Data Label","Global","User Defined"
"EbpMessageAdrs","023cbd60","Data Label","Global","User Defined"
"atelbinhdrbuf","023cbd70","Data Label","Global","User Defined"
"atelactorbuf","023cbd78","Data Label","Global","User Defined"
"EventFontFullNameArray","025cc5a0","Data Label","Global","User Defined"
"EventFontSubPath","025d08a0","Data Label","Global","User Defined"
